label	text_a
服饰内衣	？瑞女装B-28
酒饮冲调	阿尔卑斯天然矿泉水5L*4桶 整箱装 家庭装桶装水 大桶饮用水
粮油速食	饭爷生活火山石大肉粒纯肉烤肠原味420g/袋
母婴	可靠COCO吸收宝成人纸尿裤臀围:86-139cmL30片产妇纸尿裤老年人尿不湿
家居	彩虹1326AA全线路特别安全保护双控双
酒饮冲调	500ML53度汾酒甲等老白汾酒
汽车用品	爱特丽汽车香薰80ML
服饰内衣	元惠鹏程R字圆领中童加绒衫
休闲食品	T350ml喜之郎果粒爽苹果味
休闲食品	买一送一稻香村400g八月十五花月圆月饼
粮油速食	硃碌科东北有机荞麦米三角麦仁甜荞麦米1500g3斤真空装
健康食品	青源堂 乌梅 四川乌梅干280克 酸梅汤原材料乌梅 花果茶
粮油速食	福年来玉米窝窝头320g*3袋馒头花卷粗粮包子早茶点心24个装
家居	奥林朗格内裤7725
服饰内衣	一拼郎11男士毛呢外套
休闲食品	超干牛肉干80g麻辣味内蒙古风干牛肉休闲零食小吃
酒饮冲调	美汁源淳萃橙1L
服饰内衣	卡里卡2133款裤兴隆
健康食品	国善堂金汤鲍鱼花胶鸡1500g礼盒加热即食佛跳墙港式火锅海鲜方便菜礼盒
休闲食品	西亭礼盒脆饼720g
休闲食品	新边界每日坚果400g综合果仁混合坚果炒货
办公	鼎馨110#水墨书法金粉对联
办公	广博TM-4文具胶带2PCS
家居	金宁丙纶门垫50*80
家居	RDG2H1J爱仕达酷锐系列切片刀
鞋靴箱包	乔治袋鼠休闲鞋75128
家居	清清美6123保鲜袋100只20*30
家电	SP17S-1200苏泊尔静音破壁机
个护	力士洗大白瓶新活炫亮去屑型洗发乳750ml新老包装随机
休闲食品	洽洽藤椒味瓜子口味葵花籽休闲零食小吃108g
健康食品	集味家园蛋酥卷180g
个护	丹姿男士套装1+1
服饰内衣	汤尼杰郎休闲装6626
办公	APMY2204晨光M01记号笔红
酒饮冲调	红茶
清洁	力士爽肤沐浴乳恒久嫩肤720ml
肉禽蛋	大牧汗整切西冷牛排套餐含酱包共360g牛扒优质牧场牛肉生鲜
粮油速食	日清方便面合味道海鲜风味84g*3杯装
服饰内衣	汤尼杰郎男装8901
家居	898125希尔方形托盘
酒饮冲调	718G欣和葱拌侣辣味黄豆酱
休闲食品	琥珀小米锅巴麻辣味25gX20袋办公室零食大礼包500g
休闲食品	清香园脆香酥
蔬菜	白糯玉米500g*1份
餐饮	清蒸季沟鱼
玩具	SCA02猜拆乐
个护	舒肤佳 纯白清香型香皂108g*1块
粮油速食	健康轻食禧美厄瓜多尔白虾1kg/盒超大号40-50只/盒盐冻大虾海鲜水产
休闲食品	散称杂糖
家居	奥克斯AUX热水袋充电暖手宝暖水袋热宝电暖宝已注水充电防爆水电分离牛油果礼盒
粮油速食	好侍 番茄红烩调料100g*1盒
乳品	蒙牛未来星儿童成长奶酪棒混合水果味500g/25支装高钙休闲零食
办公	屋屋橡皮泥W-588*
休闲食品	王老吉龟苓膏原味果冻布丁220g*3
家居	天喜啤酒杯玻璃杯把手啤酒杯扎啤杯两只装
粮油速食	中臣腐乳340g*1瓶
休闲食品	金角老四川麻辣牛肉干100g
母婴	帮宝适清新帮纸尿裤M7片试用装6-11kg
办公	智高SF-5003赛尔号喷喷笔
玩具	8901皮卡丘
个护	百雀羚至臻皙白亮采眼部精华液20g
酒饮冲调	永璞 浓缩黑咖啡饮料零糖175g25g*7*1盒 日本进口
酒饮冲调	T750ML张裕烟台葡萄园赤霞珠干红葡萄酒
家电	飞利浦电吹风机HP8235/00家用大功率4倍负离子护发
办公	广博A4-19 40页资料册
粮油速食	盛宝KOKO泰国香米大米5kg
酒饮冲调	贝纳颂精选 冻干即溶咖啡日出西达摩20g*1盒
美妆	美宝莲MAYBELLINE眼部及唇部卸妆液卸妆水70ml眼唇卸妆
粮油速食	燕之坊禅食熟银杏仁
休闲食品	盼盼老面包手撕早餐饼干糕点奶香味930g
粮油速食	长吉兄弟长粒香米5kg绿色食品当季新米东北大米
酒饮冲调	泉阳泉 长白山天然矿泉水 3L*6 整箱装
个护	舒客儿童营养牙膏2-5岁草莓味40g
休闲食品	50片*2黄金搭档女士礼合
清洁	300G雪豹羊绒净
办公	喜羊羊六角杆平头HB铅笔4611
粮油速食	十月稻田长粒香米10kg*1袋
家居	金宁压花毯50*80cm
清洁	1.08L立白好爸爸植物亲肤衣物柔顺剂
酒饮冲调	1234257780G雀巢金装甄选原味咖啡
个护	清扬男士去屑洗发水多效水润养护型500g
休闲食品	桂格醇香燕麦片牛奶高钙540g
家居	幸福家带勺筷笼3号0082
餐饮	鸭头s
粮油速食	220G飞天羊龙利鱼卷
家居	One'sMember天然有机棉方巾棕色小毛巾挂式纯棉吸水四方厨房儿童全棉家用
家居	RXC45B3Q爱仕达甄陶III系列高汤煲
肉禽蛋	北大荒集团大荒优选原切牛腩500g原切无注水不调理不拼接精选牛腩肉
休闲食品	45G格力高双层百力滋蓝莓芝士饼干
家电	超人双头剃须刀SA2708
粮油速食	2.5KG周世家石磨小米
美妆	安安金纯A'Gensn补水睡眠面膜150g
粮油速食	串串香
服饰内衣	白仕龙5008/2067男士休闲裤
水果	智利进口车厘子 JJ级 2.5kg/箱
服饰内衣	AB抗菌保健男三角裤2911XXXL
粮油速食	230G五谷道场金麦厨卤香拌面
水产	雪蟹棒肉200g*1盒
酒饮冲调	330ML浅粉象330啤酒
玩具	得力×中国航天20cm波浪边直尺套装直尺+三角尺*2+量角器颜色随机79531
家居	康美雅 精品搓澡巾*1个颜色随机
汽车用品	悦驰7461背背佳护腰
玩具	183娃娃
酒饮冲调	T450ML可口可乐水晶葡萄味美汁源酷儿饮料
服饰内衣	汉玺保健女平角裤
肉禽蛋	鸽子蛋
清洁	花王KAO馨香洗衣粉优雅玫瑰香日本原装进口800g
休闲食品	甘米汁238ml
玩具	SPACESAND太空沙套装超轻粘土彩泥男女孩玩具沙子动力彩沙儿童节礼物过家家套装粉色MS-12
蔬菜	杏鲍菇 250g
美妆	欧莱雅LOREAL男士火山岩控油清痘洁面膏100ml男士洗面奶清洁毛孔护肤祛痘
礼品	元宝串8030
家居	脑伴48*74CM羽丝可调枕
乳品	蒙牛草莓真果粒牛奶饮品
母婴	强生儿童燕麦滋养沐浴露1L洗护婴儿沐浴乳泡泡浴家庭适用
家居	110305-7259光合生活去核器
水果	Zespri佳沛新西兰阳光金奇异果10个装单果重约80g-90g猕猴桃生鲜水果礼盒
母婴	保宁韩国进口婴儿奶瓶清洁剂果蔬清洗剂泡沫型-补充装500ml
休闲食品	T400G好吃点巧克力克豆味甄好曲奇
蔬菜	500g官胡同魔芋素百叶
家居	京造家用单杠门上单杠单杆引体向上器室内单双杠家用健身器材免打孔简易伸缩安装90-130cm
清洁	洁柔平板纸食品级自然木亲肤360张纸巾*3包装无香
家居	汇丰纸篓30125
礼品	特色炒菜三
家电	苏泊尔双刀绞肉机不锈钢多能料理机全自动家用2.6L大容量电动绞馅机搅拌机JR18HS-400
个护	京造益生菌樱花酵素漱口水12ml*20无酒精无色素
酒饮冲调	芙华LA FIOLE隆河桃红葡萄酒 750ml单瓶装 法国进口红酒 歪脖子 隆河丘产区AOC级别
清洁	玉兰油磨砂祛痘深层洁面乳100g
家居	5109焕龙立体花发梳
粮油速食	娃哈哈桂圆莲子八宝粥280g*6罐
酒饮冲调	绿茶
家居	欧曼彩小衫
家居	天堂伞三折银胶晴雨伞太阳伞遮阳伞商务伞57cm*8骨藏青
酒饮冲调	T700G智仁红枣味黑芝麻糊
家居	RC-C6049-3荣诚-带磁新雅特#叉
休闲食品	格力高焙香百力滋焦糖黄油味50g
休闲食品	自然派原味金丝酥肉松90g*1罐
健康食品	汤臣倍健男士复合维生素非泡腾片60片+30片或维B50片随机
休闲食品	良品铺子肉松拔丝蛋糕420g早餐食品面包口袋吐司休闲零食小吃
玩具	得力deli100张5色荧光膜指示标签贴43*12mm箭头款分类索引便利贴记事贴9064
办公	S得力1511语音计算器
休闲食品	散比逗仕薯片
休闲食品	5G*3ZEK海苔
清洁	超能植翠低泡洗衣液鲜艳亮丽1kg/袋装新老包装随机
个护	400+180ML力士沐浴乳促销装迷情花语+幽莲
服饰内衣	金袖一族3312男士长袖T恤
酒饮冲调	400G鲁晶食用海盐
鞋靴箱包	T踏佳路014女式凉拖
钟表配饰	迪士尼那闹钟6108
乳品	蒙牛绿色心情绿莎莎雪糕70g×10支家庭装冰淇淋冰激凌
母婴	飞鹤星阶优护2段配方奶粉400克6-12个月适用
家居	X006-32富光双层水晶玻璃办公杯
餐饮	麦德滋麦香咸鱼
家居	元惠2*2.3纯棉斜纹被套丰琳
家居	C38BQ7苏泊尔WOW儿童保温杯
鞋靴箱包	西瓜公主童鞋
母婴	40G郁美净金牌儿童霜
休闲食品	八享时风干牛肉干400g真材实料休闲零食大礼包肉脯零食即食食品
家居	杰晟180ML青瓷茶备
休闲食品	傻二哥粗粮锅巴香葱味100g*4包
粮油速食	禾煜甄选蛹虫草80g虫草花孢子头南北干货煲汤原料
酒饮冲调	480ML海天零添加头道酱油
粮油速食	900ml鲁花葵花仁油
酒饮冲调	420ML可口可乐热带果粒复合果汁饮料
清洁	68G千百度绵羊油滋养膏
蔬菜	折扣优蔬汇娃娃菜
休闲食品	悠哈葡萄味果汁爆浆软糖52g
办公	C996热可擦钢笔
肉禽蛋	九華粮品 有机富硒鸡蛋10枚400g*1盒
水产	海名威国产冷冻海鲜什锦300g火锅食材2人份袋装生鲜海鲜水产健康轻食
个护	K313可洁可净牙刷
休闲食品	达利园蛋糕蛋香味600g休闲零食大礼包代餐早餐小面包
家居	彩虹烘鞋器伸缩式HXQ60C
家居	TQM-2632清清美折叠水果刀
水产	海白菜1
水果	皇冠梨
酒饮冲调	长城经典系列金标赤霞珠干红葡萄酒750ml中粮出品
宠物	雪貂留香祛味蓬松冻干喷雾宠物狗狗猫咪造型洗护理免洗沐浴造型喷雾
粮油速食	今磨房散装黑芝麻
家居	鹿人内裤6655
餐饮	圣城鸭胗
休闲食品	佳宝蜜饯果干休闲零食阿狸半边梅瓶装200g
休闲食品	百草味糖果休闲零食宿舍小吃奶糖芒果味果粒奶昔糖48g/袋
酒饮冲调	爱上引水果饮料368g
粮油速食	附味烤海苔
肉禽蛋	恒都整切菲力牛排100g*1袋
家居	英派胶棉拖把套装
个护	50G+10G朗力福羊胎美白营养霜
粮油速食	煌上煌卤鸭翅110g*1盒新老包装交替发货
家居	幸福家GZ36全竹菜板0312
休闲食品	香疆恬语坚果炒货无壳原色原味巴旦木仁扁桃仁350g/罐
玩具	2ND-001卡
个护	130G皎洁孕妇牙膏喜乐薄荷型
个护	欧莱雅卓韵霜护发染发霜＃1自然黑色
粮油速食	宗家府泡椒嫩笋40g*1袋
家居	THL0091焕龙防滑提桶
粮油速食	安井锁鲜装仿墨鱼丸240g*1袋
酒饮冲调	维维豆浆粉冲饮代餐无添加蔗糖非转基因大豆豆浆粉330g
粮油速食	500G周世家精选赤小豆
家居	华帝304不锈钢菜板
家居	WH-3714开普特食品收纳袋
粮油速食	雅玛屋贡菜100g*1袋
肉禽蛋	边塞风盐池滩羊法式羊排200g*1袋
清洁	得宝Tempo手帕纸迷你4层加厚小包纸巾7张*12包
母婴	贝亲儿童牙膏预防龋齿牙膏含木糖醇密瓜味3岁以上50g
乳品	小西牛青藏牧场利乐砖全脂灭菌量贩纯牛奶250ml*20盒
办公	斯伯丁74-414篮球
家居	天堂尼龙绸风雨衣NF-2藏青XXXL
粮油速食	50G东北大板臻爱脆筒冰淇淋
办公	文曦0.5摩立擦中性笔WX-6333黑-12
家电	碧然德BRITA 海洋系列蓝色过滤净水器3.5L*1个
个护	600ML阿道夫参谷人参头皮护理无硅油洗发露
香烟	泰山硬红八喜烟
家居	JoyFlower永生花玫瑰花摩天轮圣诞节生日礼物结婚送女生朋友闺蜜老婆
家居	禧天龙卧室收纳柜5层28cm面宽夹缝收纳柜
酒饮冲调	1.3L巧媳妇薄盐味极鲜
家居	T焕龙HL7032吉祥筷笼
家居	妙洁易洁拖夹布替换装
家居	255005茶花卡乐免打孔吸壁肥皂架
个护	100G韩后蜡菊精油深润修护洁面乳
休闲食品	悠哈零食酷露露芒果味果汁软糖果爆浆52g
母婴	美赞臣安学健A+盒装400g
家居	秘姝儿背心8072
休闲食品	12213253散雀巢牛奶威化
宠物	田田猫扁脸猫可爱防打翻陶瓷猫碗猫食盆水碗猫咪用品猫餐具
酒饮冲调	王饱饱芋泥奶茶烤燕麦100g*1袋
鞋靴箱包	求进男女童凉鞋9235、9233、920
玩具	一星D40乒乓球白
休闲食品	白色恋人北海道白巧克力曲奇夹心饼干132g礼盒装12枚
鲜花绿植	芦荟*1份
个护	400+100g力士奢宠香氛沐浴乳幽莲魅肤
酒饮冲调	魅口鸡尾酒蓝玫瑰味
家居	郎奔内裤9385
家居	申朵竹纤维浴巾8011
粮油速食	鲜可说燕窝雪梨枸杞银耳羹礼盒装FD 6杯90g
酒饮冲调	智美Chimay蓝帽啤酒 组合装 330ml*6瓶 修道士精酿 比利时进口
家居	小吉米袜265
休闲食品	费列罗榛果威化巧克力8粒装100g
休闲食品	新边界早餐面包俄罗斯大列巴新疆果仁非全麦面包500g/袋
办公	晨光VGP-1029*-5
粮油速食	宽达火锅食材组合800g火锅丸子关东煮墨鱼丸鱼豆腐撒尿牛肉丸贡丸
家居	5523顺美多用刷
清洁	五月花大卷纸
蔬菜	贵族南瓜
乳品	安佳 原味黄油227g*1
水果	新西兰进口皇后红玫瑰苹果特级果12粒礼盒装单果重约130-170g生鲜水果礼盒
休闲食品	美丹高钙无糖梳打饼干1000g
乳品	光明 莫斯利安 常温酸奶酸牛奶原味110g*18杯
粮油速食	风味坐标 鸡大胸1kg 出口日本级 健身鸡胸肉健身餐 低脂轻食餐健身代餐 高蛋白健身食品
蔬菜	红芽香椿100g
个护	纳爱斯双重洁护牙刷YS006
粮油速食	海霸王鱼竹轮鱻宴料理125g火锅丸子火锅食材
玩具	荧光儿童护具
鞋靴箱包	纽巴巴童鞋
玩具	6902幸运星小猪E
家居	迪士尼防溢乳垫1
酒饮冲调	100G腾盛珍珠菇
酒饮冲调	三得利维体柠檬味营养素饮料500ml*2瓶
粮油速食	柴火大院五常大米稻花香米东北大米当季新米5kg新旧包装随机
蔬菜	全福元全麦面条
办公	喜羊羊文具套装XYY-4904
粮油速食	圃美多Pulmuone芝士热狗棒240g3只休闲零食韩国食品特色小吃
粮油速食	丘比大拌菜沙拉汁200ml*1瓶
清洁	绿岛固体清香剂金秋桂花88g
清洁	佳丽空气清香剂茉莉320ml
健康	广汽一次性使用儿童口罩三层防护7-14岁50只/盒-白色
粮油速食	500G周世家精选黑米
美妆	薇诺娜舒敏保湿洁面乳80g
粮油速食	金龙鱼五谷杂粮礼盒3.2kg八种口味优选礼盒年货节日礼盒400g*8企业团购员工福利
休闲食品	金瑞糯米锅巴180g
酒饮冲调	天鹅城堡Schwanenbrau小麦白啤酒500ml*24听整箱装 德国原罐进口 麦香四溢
家电	公牛新国标插座插线板插排4位无开关全长4米GN-101
个护	三笑A6抗倒洁齿牙刷
个护	100G蒽菲优生骨胶原维生素E乳
家居	双枪小麦秸秆砧菜板
家居	諾誓ROSEONLY星座玫瑰永生花干花情人节生日毕业礼物送女友双鱼座中型水滴
服饰内衣	汤尼杰郎休闲装1201
粮油速食	巴比白菜猪肉煎饺300g*2盒24只早餐煎饺蒸饺锅贴速冻锁鲜食品
清洁	帮宝适64片超薄干爽系列大包装中号纸尿裤
个护	80G杰威尔男士哑光质感造型发泥
酒饮冲调	张裕解百纳国货之光90周年纪念版蛇龙珠干红葡萄酒750ml国产红酒
个护	5G添乐儿童乳酪润唇膏
粮油速食	维扬千张条120g*1袋
粮油速食	安井肉松卷400g
粮油速食	散称特级白芡实S
酒饮冲调	野格Jagermeister洋酒利口酒700ml
餐饮	盖浇饭
个护	玉兰油白里透红霜50g
个护	一叶子植物酵素·多效水漾滢润保湿面膜25ml*5片
酒饮冲调	伯纳德·杜波依酒庄萨维尼雷伯恩雷哈托村庄级干红葡萄酒750ml
酒饮冲调	T300ML广通橙汁饮品
个护	500ML章华洗手液
家居	仁义4236菜板
休闲食品	健达奇趣蛋单粒男孩版20g
粮油速食	中安压榨一级玉米油5L清香食用油非转基因甾醇植物油烧烤
办公	003写字垫
办公	广博XBQ9750猫头鹰博士削笔器
服饰内衣	百天奴3-6
休闲食品	果园老农山楂蜜饯果干休闲零食果丹皮460g
家电	公牛大功率16A插座空调插座插线板插排长3米送10A头
服饰内衣	欧林凯顿休闲茄克棉衣8328
家居	健将袜子55J48
服饰内衣	？瑞连衣裙B-22
酒饮冲调	瓦伦丁Wurenbacher烈性啤酒500ml*24听整箱装德国进口
健康	海氏海诺英诺威 碘伏棉棒棉签 碘酒消毒液双头棉签棒 80支独立包装 不含酒精
家居	佳佰铁炒锅单柄炒菜锅无涂层32cm电磁炉煤气灶适用带木盖
办公	喜羊羊24色彩色铅笔4606
蔬菜	带皮红洋葱500g
家居	摩登主妇北欧金边碗具餐具套装家用23头轻奢风釉下彩陶瓷饭碗菜盘子汤碗碟筷瓷器
清洁	旭包鲜垃圾袋45cm*55cm*3卷90只装点段式增厚
服饰内衣	圣意马男上衣126
美妆	莎娜SANA豆乳美肤乳液150ml豆乳保湿补水护肤品
乳品	蒙牛早餐奶麦香味利乐包250ml*16盒礼盒装新旧包装交替发
美妆	WIS玻尿酸面膜24片三重玻尿酸精华面膜
母婴	米菲云吸畅爽纸尿裤M码90片6-11kg
清洁	雷达欧护驱蚊液金银花香型100ml
个护	曼秀雷敦男士能量保湿洁面膏100g
个护	120G云南白药牙膏留兰
个护	100G妮维雅凝水活采泡沫洁面乳
清洁	金纺植萃精油香氛柔顺剂小苍兰+月桂叶香型700ml
酒饮冲调	佳得乐柠檬味600ml
休闲食品	棒棒娃休闲肉脯零食肉酥酥酥香海苔味特惠量贩装50g*3袋
粮油速食	东颐 乌冬面120g*1袋
家居	清清美大号方形洗漱包
家居	振能11.5CM华堂碗
家居	KC60HA20苏泊尔畅行BB杯
休闲食品	800G万利园月来越好月饼礼盒
办公	迪士尼DM-2466-12色彩色铅笔
粮油速食	福临门金典长粒香4kg
粮油速食	展艺披萨酱番茄酱800g
服饰内衣	威龙豪仕茄克1233
粮油速食	金龙鱼食用油阳光鲜榨原香葵花仁油5L包装升级随机发
家居	爱仕达菜刀厨房刀具单刀龙鳞纹刀柄
乳品	蒙牛谷粒早餐牛奶红豆红米红高粱小米250ml*12盒
酒饮冲调	劲牌35度劲酒520ml*1瓶
餐饮	清香园炒河粉
清洁	2800G顺清柔橙A长条卫生纸
个护	牙医生炭丝深洁牙刷
家居	T裕行禅韵7.5月光盘
休闲食品	30G*20枚达利园软可可派香草味
个护	1000ml东洋之花艾叶清凉健肤沐浴露
乳品	360G伊利儿童奶酪棒燕麦黄桃味
酒饮冲调	豆豆厨黄豆浆微甜500ml*1瓶
粮油速食	滩羊鲜生宁夏滩羊肉腿加排组合国产羊排/羊前腿组合3kg
酒饮冲调	T500ML统一A-Ha柠檬味气泡水
酒饮冲调	每日拿铁咖啡250ml*1杯
家居	DJ-S1302五和独角兽单耳碗
家居	DUFRE素色北欧风方形无盖垃圾桶简约家用客厅厨房卫生间分类塑料垃圾篓
美妆	GUCCI古驰倾色绒雾唇膏金管哑光口红#505复古珍妮特3.5g生日礼物送女友
家居	可米宝贝
个护	320G依妍香浴盐
服饰内衣	飞雪捷ST2032男士短裤
休闲食品	T82G卫龙火药辣条大面筋
酒饮冲调	T475ML*4 53度杏花村珍藏老酒
粮油速食	韩今拌饭酱炒年糕韩国石锅烤肉韩式火锅调料调味酱450g
休闲食品	雅士利原味营养麦片960g
粮油速食	磨米世家五常稻花香东北大米5KG家庭装
休闲食品	101G好丽友檬萌C混合木糖醇
个护	500MLKONO顺滑柔净洗发水
个护	750ML潘婷乳液修复洗发露
水产	特级干贝
酒饮冲调	忆江南黄山贡菊25G
乳品	光明健能草莓果粒发酵乳100g*6
健康	海氏海诺 医用脱脂棉球 婴儿卫生棉球 50g约280粒 内含镊子
餐饮	金瓜卷
家居	双枪 铁线子木筷KZ2003
家居	乐扣乐扣lock&lock真空马克杯不锈钢水杯宝石蓝
清洁	QSC6908七度空间少女系列甜睡420卫生巾
清洁	小林制药厕所用消臭元新鲜白桃400ml
清洁	2KG汰渍洁净熏香薰衣草香氛高浓度洗衣液
美妆	Schick/舒适轻便男士手动剃须刀刀片2+1支装
家居	浪莎袜5769
家居	雅诚德海洋世界炫纹贝壳碗
休闲食品	135G乐事大波浪薯片碳烤五花肉味
酒饮冲调	法国都夏美隆干红葡萄酒2010年750ml
个护	2KG澳雪百合花香沐浴露
个护	60G+45G瑷露德玛UV防晒隔离霜套装
鞋靴箱包	正派女鞋93438、93491、9015
家居	迪士尼儿童保温杯带吸管316不锈钢红色蜘蛛侠600ml
家居	九洲鹿家纺 席子夏天夏季凉席1.8米床三件套折叠席子密藤席双人空调凉席
酒饮冲调	280G娃哈哈藜麦牛奶粥
乳品	伊利奶酪芝士片经典原味249g/15片装
休闲食品	雪芸蛋糕
乳品	雀巢Nestle&周大福联名礼盒中老年奶粉怡养益护因子高钙成人奶粉罐装850g
鞋靴箱包	5528/55女式凉拖
粮油速食	上鲜烤鸡皮串660g出口日本级烧烤鸡皮烧烤鸡肉串
家居	凯悦落地扇FL4045
个护	仙维娜橄榄去屑柔顺洗发露750ml
粮油速食	壹粒谷仓蜂蜜牛奶手撕面包240g*1袋
个护	1KG安安青柠清爽控油洗发露
家居	真想您盒裤76827
香烟	泰山心悦烟
家居	普利诗盒裤7245
乳品	君乐宝纯享益生菌风味发酵乳原味300g
香烟	中南海硬酷爽风尚
玩具	C0581积木
鞋靴箱包	鳄鱼纹拉杆箱8220
休闲食品	150G旺旺维多粒粒粒椰果菠萝味
休闲食品	卫龙巨型零食大礼包内含11大袋猪饲料肩扛大礼包1540g
服饰内衣	盛世灵狐X8-664/X8-665男士长袖衬衣
粮油速食	455G三全猪肉嫩青菜迷你小水饺
粮油速食	天谱乐食俄罗斯育肥250天黑安格斯板腱牛排180g/袋2片装原切牛排牛肉西餐食材
酒饮冲调	依能西柚味无糖无汽弱碱苏打水饮料500ml*24瓶塑膜量贩装
家居	新新精艺春节对联春联大礼包39件套新春虎年生肖大门对联套装2022过年礼物家用年货礼袋装黑字对联
服饰内衣	若男佳人上衣15015#
酒饮冲调	三得利Suntory洋酒日本进口梅酒720ml
运动	31038旱冰鞋
酒饮冲调	330ML北冰洋橙汁汽水
粮油速食	塞翁福 小米400g*1袋
家居	雨田南美红檀筷A-202
个护	100G舒适达牙专业修复美白配方牙膏
个护	倍齿健202牙刷
玩具	爱麦思甜品
休闲食品	72G汤臣倍健钙铁锌咀嚼片
家居	澳利文舒眠羊毛床垫0.90*1.95
水产	浪尔海苔24袋*1.6g
乳品	光明如实原味950g*1风味发酵乳酸奶酸牛奶健康轻食
美妆	雅诗兰黛多效智妍精华乳霜面霜75ml胶原霜乳霜款清爽保湿提拉紧致收缩毛孔护肤品大容量囤货礼盒
酒饮冲调	牛栏山42度炫彩青春V8红500ml*1瓶
家居	乐扣乐扣麦饭石色不粘锅炒锅电磁炉燃气通用带盖30CM
休闲食品	100G咔啰卡曼咸蛋黄味脆皮蛋卷
家居	南极人NanJiren地毯客厅沙发茶几地毯卧室满铺地毯床边毯北欧180*250cm
蔬菜	精选袖珍菇
休闲食品	香海鱼豆腐烧烤味豆腐干豆干245g
健康	XAXR口罩一次性医用外科口罩男女透气50只/袋
粮油速食	苏北油脂压榨菜籽油1.8L
粮油速食	葡萄水蒸蛋糕
清洁	60G皇宇真皮保养油无色
酒饮冲调	玻璃茶碗
个护	515ML柏缇营养沐浴露纯美浪漫
个护	舒肤佳沐浴露纯白清香型720ml长效保护无皂基男士女士通用
休闲食品	比巴卜 棉花糖泡泡糖可乐味144袋/箱  整箱装
